name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Marmara Ereglisi, Turkey",2011-01-01T00:00:00,-2.3,-2.3,-4.7,83.98,0,0,,0,0,,1,347,1022.2,0,12,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T01:00:00,-1.6,-1.6,-4.7,79.28,0,0,,0,0,,1.3,345,1021.4,0,12,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T02:00:00,-2.4,-2.4,-4.7,84.56,0,0,,0,0,9.4,4.1,300,1021.3,0,11.9,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T03:00:00,0.1,-1.8,-4.6,70.66,0,0,,0,0,,5.7,298,1021.3,0,11.9,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T04:00:00,-0.8,-2.6,-3,84.94,0,0,,0,0,,5.5,294,1021.2,0,9.4,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T05:00:00,-2.4,-2.4,-4.6,84.82,0,0,,0,0,11.2,0.7,343,1020.4,0,11.9,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T06:00:00,-2.4,-2.4,-4.6,84.91,0,0,,0,0,,3.6,294,1021.1,0,11.9,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T07:00:00,-1.7,-1.7,-3.8,85.37,0,0,,0,0,,3.8,303,1021.2,0,11.9,,,,,Clear,clear-night,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T08:00:00,0,-1.8,-2.9,80.62,0,0,,0,0,11.2,5.6,310,1021.3,0,11.7,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T09:00:00,0.6,-0.9,-1.8,84.34,0,0,,0,0,,5,291,1021.4,0,11.8,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T10:00:00,5.3,4.4,-1.4,61.9,0,0,,0,0,,5.3,244,1021.4,8.7,12.2,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T11:00:00,6.2,4.1,1.1,69.81,0,0,,0,0,9.4,10.1,206,1021.3,8.7,12.2,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T12:00:00,7.3,5,2.3,70.61,0,0,,0,0,,12.2,204,1020.4,8.7,12.2,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T13:00:00,7.2,5,1.4,66.88,0,0,,0,0,,11.7,222,1020.1,0,12.1,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T14:00:00,8,6,2.2,66.59,0,0,,0,0,22.3,11.8,212,1019.3,23.9,11.6,,,,,Partially cloudy,partly-cloudy-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
"Marmara Ereglisi, Turkey",2011-01-01T15:00:00,7.2,5.1,1.2,65.33,0,0,,0,0,,11.5,204,1019.2,0,12.1,,,,,Clear,clear-day,"17056099999,LTBU,17054099999,17115099999,17060099999"
